,ibns_20u,vgs_m1,name,type,time,OK
0,20.51425,0.7579687,tran_LayGtKfsTlVt,Lay,Thu Jan 22 20:37:02 2026,True
1,20.70588,0.685388,tran_LayGtKsfTlVt,Lay,Thu Jan 22 20:37:02 2026,True
2,20.68407,0.6953347,tran_LayGtKffTlVt,Lay,Thu Jan 22 20:37:02 2026,True
3,20.53628,0.7480513,tran_LayGtKssTlVt,Lay,Thu Jan 22 20:37:02 2026,True
4,20.57098,0.6838284,tran_LayGtKfsThVt,Lay,Thu Jan 22 20:37:02 2026,True
5,20.757649999999998,0.6037314,tran_LayGtKsfThVt,Lay,Thu Jan 22 20:37:02 2026,True
6,20.73891,0.61373,tran_LayGtKffThVt,Lay,Thu Jan 22 20:37:02 2026,True
7,20.59092,0.6738161,tran_LayGtKssThVt,Lay,Thu Jan 22 20:37:02 2026,True
